,ID,Box,reculture_date,useable_27May2025,notes_27May2025,storage_type,Molecular ID,Ectomycorrhizal
88,RP10,17,NA,yes,NA,cabinet,Graduate?,M
89,RS05,8,241212,yes,NA,incubator,NA,M
90,RS05,13,241212,yes,NA,cabinet,NA,M
99,RZ28,8,241212,yes,NA,incubator,Rhizopogon occidentalis,Y
100,RZ28,13,241212,yes,NA,cabinet,Rhizopogon occidentalis,Y
101,RZ30,7,250109,not useable,NA,incubator,NA,M
102,RZ30,17,NA,yes,NA,cabinet,NA,M
103,RZ34,17,NA,yes,NA,cabinet,NA,M
104,RZ34,7,250109,yes,NA,incubator,NA,M
105,SC04,8,241212,yes,some wacky morphology,incubator,NA,M
106,SC04,13,? found here during 27May2025 inventory,yes,NA,cabinet,NA,M
107,SD01,8,241212,yes,NA,incubator,Suillus Caerulescens,Y
108,SD01,NA,NA,yes,none,mysterybox,Suillus Caerulescens,Y
109,SD01,13,241212,yes,label looks like sp01,cabinet,Suillus Caerulescens,Y
110,SD03,8,241212,yes,NA,incubator,NA,M
111,SD03,13,241212,yes,NA,cabinet,NA,M
112,SHELLEY,18,250109,yes,NA,incubator,NA,M
116,SL08,9,241211,"used, bad",NA,incubator,Suillus lakei,Y
117,SL08,4,241210,yes,NA,cabinet,Suillus lakei,Y
118,SL10,9,241211,"used, bad",NA,incubator,Suillus lakei,Y
119,SL10,NA,NA,yes,none,mysterybox,Suillus lakei,Y
120,SL10,4,241210,yes,NA,cabinet,Suillus lakei,Y
121,SL15,13,241212,yes,NA,cabinet,Suillus Lakei,Y
122,SL15,8,241212,yes,NA,incubator,Suillus Lakei,Y
123,SL15,NA,NA,yes,none,mysterybox,Suillus Lakei,Y
124,SL17,NA,NA,yes,none,mysterybox,Suillus Lakei,Y
125,SL17,8,241212,yes,found in box 9,incubator,Suillus Lakei,Y
126,SL17,13,241212,yes,reddish tinting--good news for SL ID,cabinet,Suillus Lakei,Y
127,SL19,19,250109,not useable,NA,incubator,NA,M
128,SL20,19,250109,yes,NA,incubator,NA,M
129,SL21,5,241212,yes,NA,cabinet,NA,M
130,SL21,7,250109,yes,NA,incubator,NA,M
131,SL25,17,NA,yes,NA,cabinet,NA,M
132,SL25,7,250109,yes,NA,incubator,NA,M
133,SL25,19,250109,yes,"""looks kind of ok""",incubator,NA,M
134,SL26,7,250109,yes,NA,incubator,NA,M
135,SL26,17,NA,yes,NA,cabinet,NA,M
136,SL28,17,NA,yes,NA,cabinet,NA,M
137,SL29,19,250109,probably not useable,"""slimy and sad""",incubator,NA,M
138,SL29,17,NA,yes,NA,cabinet,NA,M
139,SL32,19,250109,yes,NA,incubator,NA,M
140,SL32,5,241213,yes,NA,cabinet,NA,M
141,SLO8,NA,NA,yes,none,mysterybox,NA,M
142,SLOG,13,241212,yes,NA,cabinet,Suillus Caerulescens,Y
143,SLOG,8,241212,yes,NA,incubator,Suillus Caerulescens,Y
153,SUILA,9,241210,yes,NA,incubator,NA,M
154,SUILA,NA,NA,yes,none,mysterybox,NA,M
156,TM05,intake box,never,not a lot of growth - unclear if it worked,none,intake,NA,M
157,TM07,intake box,never,not a lot of growth - unclear if it worked,none,intake,NA,M
158,TRINA,5,241205,yes,NA,cabinet,"""They were from two genetic individuals, less than a mile apart. I was busy collecting for FUNDIS and was a bit distracted so I didn’t separate them out.""",Y
159,TRINA,19,250109,not useable,NA,incubator,"""They were from two genetic individuals, less than a mile apart. I was busy collecting for FUNDIS and was a bit distracted so I didn’t separate them out.""",Y
160,URSULA,13,241212,yes,NA,cabinet,Cortinarius violaceus,Y
161,URSULA,8,241212,yes,NA,incubator,Cortinarius violaceus,Y
